outputscale,omega,lml
1.750000000000007105e-02,-6.000000000000000000e+00,-3.256896959168153687e+11
4.000000000000003553e-02,-6.000000000000000000e+00,-3.247991821459146729e+11
6.250000000000000000e-02,-6.000000000000000000e+00,-3.238302141243287354e+11
8.499999999999996447e-02,-6.000000000000000000e+00,-3.229756989245451660e+11
1.074999999999999289e-01,-6.000000000000000000e+00,-3.221536687554436646e+11
1.299999999999998934e-01,-6.000000000000000000e+00,-3.213493631358048096e+11
1.524999999999998579e-01,-6.000000000000000000e+00,-3.205470512166561279e+11
1.749999999999998224e-01,-6.000000000000000000e+00,-3.197806021236281738e+11
1.974999999999997868e-01,-6.000000000000000000e+00,-3.191387972574121704e+11
2.199999999999997513e-01,-6.000000000000000000e+00,-3.184279604190336304e+11
2.424999999999997158e-01,-6.000000000000000000e+00,-3.177692551992416382e+11
2.649999999999996803e-01,-6.000000000000000000e+00,-3.171133400791002808e+11
2.874999999999996447e-01,-6.000000000000000000e+00,-3.165510759698959961e+11
3.099999999999996092e-01,-6.000000000000000000e+00,-3.159583717680019531e+11
3.324999999999995737e-01,-6.000000000000000000e+00,-3.153299098503605347e+11
3.549999999999995381e-01,-6.000000000000000000e+00,-3.148634796116214600e+11
3.774999999999995026e-01,-6.000000000000000000e+00,-3.142774045731827393e+11
3.999999999999994671e-01,-6.000000000000000000e+00,-3.138321893288035889e+11
4.224999999999994316e-01,-6.000000000000000000e+00,-3.134656358104569092e+11
4.449999999999993960e-01,-6.000000000000000000e+00,-3.129470027433972168e+11
4.674999999999993605e-01,-6.000000000000000000e+00,-3.125402853802208252e+11
4.900000000000002132e-01,-6.000000000000000000e+00,-3.121111479170540161e+11
5.125000000000001776e-01,-6.000000000000000000e+00,-3.117061084135896606e+11
5.350000000000001421e-01,-6.000000000000000000e+00,-3.113218619202667236e+11
5.575000000000001066e-01,-6.000000000000000000e+00,-3.110059207097197266e+11
5.800000000000000711e-01,-6.000000000000000000e+00,-3.106012100410557861e+11
6.025000000000000355e-01,-6.000000000000000000e+00,-3.103001959032254639e+11
6.250000000000000000e-01,-6.000000000000000000e+00,-3.098375282999114990e+11
6.474999999999999645e-01,-6.000000000000000000e+00,-3.096721421598151855e+11
6.699999999999999289e-01,-6.000000000000000000e+00,-3.094183910164713135e+11
6.924999999999998934e-01,-6.000000000000000000e+00,-3.090626615581442261e+11
7.149999999999998579e-01,-6.000000000000000000e+00,-3.088461465049327393e+11
7.374999999999998224e-01,-6.000000000000000000e+00,-3.084119946639394531e+11
7.599999999999997868e-01,-6.000000000000000000e+00,-3.083842905701414795e+11
7.824999999999997513e-01,-6.000000000000000000e+00,-3.080899197573060303e+11
8.049999999999997158e-01,-6.000000000000000000e+00,-3.078768230497223511e+11
8.274999999999996803e-01,-6.000000000000000000e+00,-3.077619592338164673e+11
8.499999999999996447e-01,-6.000000000000000000e+00,-3.076302794011964111e+11
8.724999999999996092e-01,-6.000000000000000000e+00,-3.072521007337335815e+11
8.949999999999995737e-01,-6.000000000000000000e+00,-3.070696628947928467e+11
9.174999999999995381e-01,-6.000000000000000000e+00,-3.070350841520670166e+11
9.399999999999995026e-01,-6.000000000000000000e+00,-3.067065386626506348e+11
9.624999999999994671e-01,-6.000000000000000000e+00,-3.064204159210693359e+11
9.849999999999994316e-01,-6.000000000000000000e+00,-3.065607086030759277e+11
1.007499999999999396e+00,-6.000000000000000000e+00,-3.066433986383290405e+11
1.029999999999999361e+00,-6.000000000000000000e+00,-3.064837032050560303e+11
1.052500000000000213e+00,-6.000000000000000000e+00,-3.056478824567337036e+11
1.075000000000000178e+00,-6.000000000000000000e+00,-3.058603076571527100e+11
1.097500000000000142e+00,-6.000000000000000000e+00,-3.058001384922760010e+11
1.120000000000000107e+00,-6.000000000000000000e+00,-3.055891845816312256e+11
1.142500000000000071e+00,-6.000000000000000000e+00,-3.056702586612958984e+11
1.165000000000000036e+00,-6.000000000000000000e+00,-3.057141438679080811e+11
1.187500000000000000e+00,-6.000000000000000000e+00,-3.052567798718950806e+11
1.209999999999999964e+00,-6.000000000000000000e+00,-3.056761169451666260e+11
1.232499999999999929e+00,-6.000000000000000000e+00,-3.059764327934257812e+11
1.254999999999999893e+00,-6.000000000000000000e+00,-3.056602031726597900e+11
1.277499999999999858e+00,-6.000000000000000000e+00,-3.051306029843529053e+11
1.299999999999999822e+00,-6.000000000000000000e+00,-3.051173318667624512e+11
1.322499999999999787e+00,-6.000000000000000000e+00,-3.054214587790240479e+11
1.344999999999999751e+00,-6.000000000000000000e+00,-3.049804889678474121e+11
1.367499999999999716e+00,-6.000000000000000000e+00,-3.052497719755721436e+11
1.389999999999999680e+00,-6.000000000000000000e+00,-3.039298512447751465e+11
1.412499999999999645e+00,-6.000000000000000000e+00,-3.051878692654340210e+11
1.434999999999999609e+00,-6.000000000000000000e+00,-3.056563161286748657e+11
1.457499999999999574e+00,-6.000000000000000000e+00,-3.049805455625177002e+11
1.479999999999999538e+00,-6.000000000000000000e+00,-3.054523601194310303e+11
1.502499999999999503e+00,-6.000000000000000000e+00,-3.058181730318297119e+11
1.524999999999999467e+00,-6.000000000000000000e+00,-3.056368936262883911e+11
1.547499999999999432e+00,-6.000000000000000000e+00,-3.033882534343021851e+11
1.569999999999999396e+00,-6.000000000000000000e+00,-3.044933474984741821e+11
1.592499999999999361e+00,-6.000000000000000000e+00,-3.046801766335042725e+11
1.614999999999999325e+00,-6.000000000000000000e+00,-3.043381756450960693e+11
1.637500000000000178e+00,-6.000000000000000000e+00,-3.048509360922525024e+11
1.660000000000000142e+00,-6.000000000000000000e+00,-3.038588862043362427e+11
1.682500000000000107e+00,-6.000000000000000000e+00,-3.056008238708298340e+11
1.705000000000000071e+00,-6.000000000000000000e+00,-3.055906332759271851e+11
1.727500000000000036e+00,-6.000000000000000000e+00,-3.026042812811449585e+11
1.750000000000000000e+00,-6.000000000000000000e+00,-3.046242581948267822e+11
1.772499999999999964e+00,-6.000000000000000000e+00,-3.029514255586715698e+11
1.794999999999999929e+00,-6.000000000000000000e+00,-3.036438831023066406e+11
1.817499999999999893e+00,-6.000000000000000000e+00,-3.052347046600116577e+11
1.839999999999999858e+00,-6.000000000000000000e+00,-3.079800491700717163e+11
1.862499999999999822e+00,-6.000000000000000000e+00,-3.048279788025759888e+11
1.884999999999999787e+00,-6.000000000000000000e+00,-3.058740997549801025e+11
1.907499999999999751e+00,-6.000000000000000000e+00,-3.062599046019774170e+11
1.929999999999999716e+00,-6.000000000000000000e+00,-3.083458648208621216e+11
1.952499999999999680e+00,-6.000000000000000000e+00,-3.077830860150988770e+11
1.974999999999999645e+00,-6.000000000000000000e+00,-3.066395190996162109e+11
1.997499999999999609e+00,-6.000000000000000000e+00,-3.050398549559122925e+11
2.019999999999999574e+00,-6.000000000000000000e+00,-3.043481586846922607e+11
2.042499999999999538e+00,-6.000000000000000000e+00,-3.083265040609723511e+11
2.064999999999999503e+00,-6.000000000000000000e+00,-3.054529551781209106e+11
2.087499999999999467e+00,-6.000000000000000000e+00,-3.067035711217640991e+11
