problem,Dx,N_over_Dx,noise,model,RRMSE_median,RRMSE_std,NIS_median,NIS_std
dixon_price,40,5,0.002,gpytorch,1.0018804608078429,0.0024202805447312765,4.706194502682756,0.0624414776611855
dixon_price,40,5,0.08,gpytorch,1.0017219698442124,0.00246750499519416,4.715549948041901,0.06201398884489074
griewank,20,20,0.002,gpytorch,0.015644137376499584,0.0038366603589112544,0.2617036826314601,0.03461600122319441
griewank,20,20,0.08,gpytorch,0.14211141294838203,0.00755881649149445,0.6713954226795013,0.033326819220660796
griewank,20,5,0.002,gpytorch,0.7078226747020198,0.06000239505091973,3.4289672660389634,0.6382364746898119
griewank,20,5,0.08,gpytorch,0.704361123919335,0.05846943083172646,3.4127765426689263,0.47041129146146554
rosenbrock,80,20,0.002,gpytorch,1.0000792163064398,8.126596404464868e-05,4.696457110982285,0.008545391396809992
rosenbrock,80,20,0.08,gpytorch,1.000083100446354,8.262351846293504e-05,4.697115393024066,0.009179402661711217
rosenbrock,80,5,0.002,gpytorch,1.000443384647649,0.0013166482464046505,4.700565120305965,0.013632942348643713
rosenbrock,80,5,0.08,gpytorch,1.0006486189390862,0.0012356747303877062,4.707373581277592,0.011640382826469495
wing,10,20,0.002,gpytorch,0.009782588925347632,0.0003720793048082365,0.054218736170205145,0.0019413528070970224
wing,10,20,0.08,gpytorch,0.0921130403921078,0.0025352639556583444,0.42810797777865117,0.022753455187144233
wing,10,5,0.002,gpytorch,0.045567844804850696,0.010124138704689381,0.2538108786966681,0.09293755454790736
wing,10,5,0.08,gpytorch,0.12147873655703212,0.01596668664195509,0.5904709289150654,0.14013219458120252
zakharov,20,20,0.002,gpytorch,0.24424136441851932,0.012747189765697546,1.3793215947924151,0.11014543423743488
zakharov,20,20,0.08,gpytorch,0.2801877590455955,0.015850993513582934,1.5633782541140944,0.12351614300280613
zakharov,20,5,0.002,gpytorch,0.5578002824819368,0.05216071968611117,3.4694726513831116,0.5059130966773893
zakharov,20,5,0.08,gpytorch,0.5811839546788558,0.05260831439144992,3.6320317263502258,0.5288768622375326
