problem,Dx,N_over_Dx,noise,model,RRMSE_median,RRMSE_std,NIS_median,NIS_std
rosenbrock,80,5,0.002,gpplus,0.667494768751077,0.04149014023881009,3.5895669012595515,0.4585218093069069
rosenbrock,80,5,0.08,gpplus,0.674354054025815,0.0483056022459801,3.639369142024573,0.47763617324111796
wing,10,20,0.002,gpplus,0.005860742145528679,0.00032360767650863856,0.027234274733018093,0.00175130854168002
wing,10,20,0.08,gpplus,0.09238160479982307,0.001982968705186373,0.42915733107830134,0.008444560125566405
wing,10,5,0.002,gpplus,0.039486942970327225,0.013282836471679663,0.20922042705000185,0.21011635194517286
wing,10,5,0.08,gpplus,0.1135647046201737,0.006467368189467385,0.5425039164002536,0.035976443138380616
zakharov,20,20,0.002,gpplus,0.23966598475042283,0.015018744096755896,1.3440791729024721,0.1183063454352563
zakharov,20,20,0.08,gpplus,0.2744032990128767,0.01645614746112763,1.4892133111409964,0.13009967149776605
zakharov,20,5,0.002,gpplus,0.596438685156501,0.12735924302513654,4.365046601940319,1.9136912139399513
zakharov,20,5,0.08,gpplus,0.6202511894388558,0.13426923382972697,4.489085130047572,1.9631012493134004
ackley,20,20,0.002,GP+ (PE),0.2583963597890197,0.011100699640043581,1.2761266046593405,0.0627081453615717
ackley,20,20,0.08,GP+ (PE),0.2762439722768411,0.009557918874585805,1.3763616746523293,0.056005976902407814
ackley,20,5,0.002,GP+ (PE),0.46576901592818565,0.02666990510351503,2.498438832411018,0.32189869660248654
ackley,20,5,0.08,GP+ (PE),0.4849967441905408,0.04422393307611983,2.715567349570506,0.5363219696624789
ackley,40,20,0.002,GP+ (PE),0.2444711363145018,0.004491476094623361,1.186022357294098,0.030445839170714598
ackley,40,20,0.08,GP+ (PE),0.26001951859971406,0.004768473195780534,1.2678866531565731,0.032262562339397706
ackley,40,5,0.002,GP+ (PE),0.4330082538226706,0.048214286204974734,2.2100903684568944,0.37232938056811454
ackley,40,5,0.08,GP+ (PE),0.4673809930426317,0.040763404258997285,2.3872922529702345,0.32567560807755375
borehole,8,20,0.002,GP+ (PE),0.004667854568502843,0.000556562949257826,0.02265159844311209,0.0036433448151196087
borehole,8,20,0.08,GP+ (PE),0.09108120132948314,0.0027138576955816193,0.41959656076126206,0.02173258329122538
borehole,8,5,0.002,GP+ (PE),0.026721764483290444,0.006969941195255915,0.13879088867410988,0.0491967381024834
borehole,8,5,0.08,GP+ (PE),0.12118074217590631,0.020398737096471442,0.6531385972073721,0.20570497729633158
buckling,4,20,0.002,GP+ (PE),0.05791701449460983,0.016863413581869647,0.19763758218105004,0.061527257722063494
buckling,4,20,0.08,GP+ (PE),0.2262592913748969,0.056532382162230214,1.1390995199118565,0.49295304318867544
buckling,4,5,0.002,GP+ (PE),0.34356812554468674,0.1446132803887404,6.939658383960385,3.20371144890849
buckling,4,5,0.08,GP+ (PE),0.5369112703503399,0.12293872236093377,9.781284191540063,3.175528176680792
dixon_price,40,20,0.002,GP+ (PE),0.1063635125521327,0.0022415043226823926,0.5011782476160191,0.009343697824798942
dixon_price,40,20,0.08,GP+ (PE),0.1542487239345922,0.002413224073781343,0.7358387796830742,0.015579100719832454
dixon_price,40,5,0.002,GP+ (PE),0.6979959605667161,0.057701844740101926,3.9086111714360503,0.6926088063070379
dixon_price,40,5,0.08,GP+ (PE),0.7042179859643498,0.11290331952468038,3.9780143951746862,0.9217562485168758
griewank,20,20,0.002,GP+ (PE),0.018042526679487816,0.006436122983685785,0.21584674112290692,0.06178309190448946
griewank,20,20,0.08,GP+ (PE),0.11434520386704328,0.003765212685928687,0.543236791774631,0.023349931846543114
griewank,20,5,0.002,GP+ (PE),0.8392360102706722,0.08488799479187242,5.769262467270741,1.5707107213586793
griewank,20,5,0.08,GP+ (PE),0.8372682552880579,0.0963067745787286,5.272491537278064,1.5963273499635344
rosenbrock,80,20,0.002,GP+ (PE),0.18850951960638654,0.6417988465341011,2.260555015244461,10.595542597182195
rosenbrock,80,20,0.08,GP+ (PE),0.2845318684141614,0.3352111455247377,2.328746451923355,3.373652673947583
rosenbrock,80,5,0.002,GP+ (PE),0.6788844131555039,0.16577453031173522,3.701281474093804,0.7729803496953691
rosenbrock,80,5,0.08,GP+ (PE),0.694841194071336,0.14102407875969644,3.7976689274247954,0.6637895740157483
wing,10,20,0.002,GP+ (PE),0.005671143083364491,0.00029744927605929655,0.026179064934150544,0.0015741780580850395
wing,10,20,0.08,GP+ (PE),0.09217716971525952,0.0017077493373848125,0.4278178864009634,0.006671326490186997
wing,10,5,0.002,GP+ (PE),0.04342205540186206,0.013818696532292172,0.2058998234373588,0.21286725391467798
wing,10,5,0.08,GP+ (PE),0.11652522147010938,0.007977292052205952,0.5595237188520794,0.09314542108394795
zakharov,20,20,0.002,GP+ (PE),0.2396628549397104,0.01477811884973744,1.3440793188802305,0.12011983066353515
zakharov,20,20,0.08,GP+ (PE),0.27440340361921056,0.016463441983363993,1.489199131295977,0.13154857337869746
zakharov,20,5,0.002,GP+ (PE),0.6005008263157322,0.12483364210347594,4.353652436715593,1.9061523977704602
zakharov,20,5,0.08,GP+ (PE),0.6186567935334388,0.13640688247715801,4.864056415620002,1.952213218915506
