outputscale,omega,lml
-1.354999999999999982e+00,-6.000000000000000000e+00,-2.043707375244158325e+11
-1.332500000000000018e+00,-6.000000000000000000e+00,-2.028254898314573059e+11
-1.310000000000000053e+00,-6.000000000000000000e+00,-2.012741314547706299e+11
-1.287500000000000089e+00,-6.000000000000000000e+00,-1.997192382993540649e+11
-1.265000000000000124e+00,-6.000000000000000000e+00,-1.981649527753634644e+11
-1.242500000000000160e+00,-6.000000000000000000e+00,-1.966077531421945190e+11
-1.220000000000000195e+00,-6.000000000000000000e+00,-1.950543488703887634e+11
-1.197500000000000231e+00,-6.000000000000000000e+00,-1.935046882324093323e+11
-1.175000000000000266e+00,-6.000000000000000000e+00,-1.919627208879226685e+11
-1.152500000000000302e+00,-6.000000000000000000e+00,-1.904302272593258057e+11
-1.130000000000000338e+00,-6.000000000000000000e+00,-1.889074317404185181e+11
-1.107499999999999929e+00,-6.000000000000000000e+00,-1.873957872225882874e+11
-1.084999999999999964e+00,-6.000000000000000000e+00,-1.858978790549719543e+11
-1.062500000000000000e+00,-6.000000000000000000e+00,-1.844187300996391296e+11
-1.040000000000000036e+00,-6.000000000000000000e+00,-1.829590889360771484e+11
-1.017500000000000071e+00,-6.000000000000000000e+00,-1.815133424989845581e+11
-9.950000000000001066e-01,-6.000000000000000000e+00,-1.800940978239749146e+11
-9.725000000000001421e-01,-6.000000000000000000e+00,-1.786929683098866272e+11
-9.500000000000001776e-01,-6.000000000000000000e+00,-1.773194448543473511e+11
-9.275000000000002132e-01,-6.000000000000000000e+00,-1.759697483389941101e+11
-9.050000000000002487e-01,-6.000000000000000000e+00,-1.746421156206013794e+11
-8.825000000000002842e-01,-6.000000000000000000e+00,-1.733466910160240784e+11
-8.600000000000003197e-01,-6.000000000000000000e+00,-1.720751509177165527e+11
-8.375000000000003553e-01,-6.000000000000000000e+00,-1.708350168438751831e+11
-8.150000000000003908e-01,-6.000000000000000000e+00,-1.696207811706190491e+11
-7.925000000000004263e-01,-6.000000000000000000e+00,-1.684420605228588867e+11
-7.700000000000004619e-01,-6.000000000000000000e+00,-1.672851379155072937e+11
-7.475000000000004974e-01,-6.000000000000000000e+00,-1.661670044682779236e+11
-7.250000000000005329e-01,-6.000000000000000000e+00,-1.650752400498206177e+11
-7.025000000000005684e-01,-6.000000000000000000e+00,-1.640156795913152466e+11
-6.799999999999997158e-01,-6.000000000000000000e+00,-1.629902049959566345e+11
-6.574999999999997513e-01,-6.000000000000000000e+00,-1.619885471683956299e+11
-6.349999999999997868e-01,-6.000000000000000000e+00,-1.610267741047295227e+11
-6.124999999999998224e-01,-6.000000000000000000e+00,-1.600863778298055725e+11
-5.899999999999998579e-01,-6.000000000000000000e+00,-1.591930704479394226e+11
-5.674999999999998934e-01,-6.000000000000000000e+00,-1.583094782110886230e+11
-5.449999999999999289e-01,-6.000000000000000000e+00,-1.574713046115486450e+11
-5.224999999999999645e-01,-6.000000000000000000e+00,-1.566455361160613403e+11
-5.000000000000000000e-01,-6.000000000000000000e+00,-1.558629131452734680e+11
-4.775000000000000355e-01,-6.000000000000000000e+00,-1.551008216017285767e+11
-4.550000000000000711e-01,-6.000000000000000000e+00,-1.543771147957757874e+11
-4.325000000000001066e-01,-6.000000000000000000e+00,-1.536687366488978577e+11
-4.100000000000001421e-01,-6.000000000000000000e+00,-1.529868207466922607e+11
-3.875000000000001776e-01,-6.000000000000000000e+00,-1.523458268424132080e+11
-3.650000000000002132e-01,-6.000000000000000000e+00,-1.517042489392655334e+11
-3.425000000000002487e-01,-6.000000000000000000e+00,-1.511134486999541626e+11
-3.200000000000002842e-01,-6.000000000000000000e+00,-1.505307099092177734e+11
-2.975000000000003197e-01,-6.000000000000000000e+00,-1.499758111156275330e+11
-2.750000000000003553e-01,-6.000000000000000000e+00,-1.494508167301169128e+11
-2.525000000000003908e-01,-6.000000000000000000e+00,-1.489414115370937500e+11
-2.300000000000004263e-01,-6.000000000000000000e+00,-1.484526996344597473e+11
-2.075000000000004619e-01,-6.000000000000000000e+00,-1.479875777797184448e+11
-1.850000000000004974e-01,-6.000000000000000000e+00,-1.475340132828147888e+11
-1.625000000000005329e-01,-6.000000000000000000e+00,-1.471032914294476013e+11
-1.400000000000005684e-01,-6.000000000000000000e+00,-1.467151089049613953e+11
-1.175000000000006040e-01,-6.000000000000000000e+00,-1.463086250735649414e+11
-9.499999999999975131e-02,-6.000000000000000000e+00,-1.459385898900058899e+11
-7.249999999999978684e-02,-6.000000000000000000e+00,-1.455903744249183960e+11
-4.999999999999982236e-02,-6.000000000000000000e+00,-1.452344059323733521e+11
-2.749999999999985789e-02,-6.000000000000000000e+00,-1.449079130699305420e+11
-4.999999999999893419e-03,-6.000000000000000000e+00,-1.445933448055996704e+11
1.750000000000007105e-02,-6.000000000000000000e+00,-1.442916277189287720e+11
4.000000000000003553e-02,-6.000000000000000000e+00,-1.439783517814989319e+11
6.250000000000000000e-02,-6.000000000000000000e+00,-1.436954528205059509e+11
8.499999999999996447e-02,-6.000000000000000000e+00,-1.434483564505604248e+11
1.074999999999999289e-01,-6.000000000000000000e+00,-1.431924469659956360e+11
1.299999999999998934e-01,-6.000000000000000000e+00,-1.429557155629656677e+11
1.524999999999998579e-01,-6.000000000000000000e+00,-1.427681936913490906e+11
1.749999999999998224e-01,-6.000000000000000000e+00,-1.425490330115088501e+11
1.974999999999997868e-01,-6.000000000000000000e+00,-1.423566624653305359e+11
2.199999999999997513e-01,-6.000000000000000000e+00,-1.421772974031803284e+11
2.424999999999997158e-01,-6.000000000000000000e+00,-1.419682988870648804e+11
2.649999999999996803e-01,-6.000000000000000000e+00,-1.417683931863854065e+11
2.874999999999996447e-01,-6.000000000000000000e+00,-1.416169839184570923e+11
3.099999999999996092e-01,-6.000000000000000000e+00,-1.414892834008691101e+11
3.324999999999995737e-01,-6.000000000000000000e+00,-1.412941901742530823e+11
3.549999999999995381e-01,-6.000000000000000000e+00,-1.411881520380681763e+11
3.774999999999995026e-01,-6.000000000000000000e+00,-1.410435883813040771e+11
3.999999999999994671e-01,-6.000000000000000000e+00,-1.408830087481276550e+11
4.224999999999994316e-01,-6.000000000000000000e+00,-1.408099602233377075e+11
4.449999999999993960e-01,-6.000000000000000000e+00,-1.406484153036619568e+11
4.674999999999993605e-01,-6.000000000000000000e+00,-1.405139718755306702e+11
4.900000000000002132e-01,-6.000000000000000000e+00,-1.404622851561044922e+11
5.125000000000001776e-01,-6.000000000000000000e+00,-1.403972785727851257e+11
